date,video_views,profile_views,likes,comments,shares,followers,follower_difference,posed_video,day
2021-12-27,22710,480,899,1,67,273724,14,0,Monday
2021-12-28,24016,494,883,4,53,273785,61,0,Tuesday
2021-12-29,24297,554,892,3,101,273843,58,0,Wednesday
2021-12-30,28127,593,1237,17,110,273894,51,1,Thursday
2021-12-31,19306,455,692,9,74,273910,16,0,Friday
2022-01-01,32415,671,1527,12,118,273937,27,1,Saturday
2022-01-02,54638,1073,2017,5,223,274003,66,1,Sunday
2022-01-03,42812,846,1620,7,143,274107,104,0,Monday
2022-01-04,32912,673,1356,9,119,274207,100,0,Tuesday
2022-01-05,64928,1051,3357,15,604,274650,443,0,Wednesday
2022-01-06,64737,914,2598,11,476,274997,347,0,Thursday
2022-01-07,48804,729,2023,11,403,275276,279,0,Friday
2022-01-08,167075,2182,7115,28,1418,276291,1015,1,Saturday
2022-01-09,154443,2303,6229,32,1403,277240,949,0,Sunday
2022-01-10,76430,1226,3694,15,588,277793,553,0,Monday
2022-01-11,36396,753,1641,9,140,277860,67,1,Tuesday
2022-01-12,22070,434,897,5,90,277853,-7,0,Wednesday
2022-01-13,24742,677,1041,9,67,277855,2,1,Thursday
2022-01-14,23263,578,881,7,77,277863,8,0,Friday
2022-01-15,23903,544,874,1,105,277862,-1,0,Saturday
2022-01-16,37139,877,1452,12,108,277944,82,1,Sunday
2022-01-17,70550,2968,3545,18,147,277987,43,1,Monday
2022-01-18,112098,3805,5560,29,223,278181,194,0,Tuesday
2022-01-19,42932,1346,2100,10,142,278249,68,0,Wednesday
2022-01-20,59298,1317,3587,33,270,278317,68,1,Thursday
2022-01-21,38417,952,1918,10,115,278353,36,1,Friday
2022-01-22,48700,937,2701,10,272,278408,55,1,Saturday
2022-01-23,80938,1575,3411,15,307,278549,141,1,Sunday
2022-01-24,48897,930,2068,8,178,278693,144,0,Monday
2022-01-25,41964,825,1842,7,129,278816,123,1,Tuesday
2022-01-26,35202,768,1475,6,108,278875,59,0,Wednesday
2022-01-27,31410,681,1234,10,114,278918,43,1,Thursday
2022-01-28,30493,658,1064,4,79,278970,52,0,Friday
2022-01-29,49773,944,2343,3,206,279038,68,1,Saturday
2022-01-30,74674,1631,2694,7,160,279208,170,0,Sunday
2022-01-31,50150,2040,2009,10,184,279579,371,0,Monday
2022-02-01,32209,1019,1272,3,115,279721,142,1,Tuesday
2022-02-02,33422,933,1364,4,88,279814,93,0,Wednesday
2022-02-03,98918,2916,5868,13,122,280088,274,1,Thursday
2022-02-04,61695,1826,2793,7,121,280258,170,0,Friday
2022-02-05,217943,5751,12134,52,1074,280985,727,1,Saturday
2022-02-06,304164,6171,13419,35,793,282327,1342,0,Sunday
2022-02-07,90332,2102,4688,10,262,282699,372,0,Monday
2022-02-08,33922,729,1583,7,107,282798,99,0,Tuesday
2022-02-09,23981,566,1165,4,99,282839,41,0,Wednesday
2022-02-10,49110,1135,2523,12,175,283129,290,1,Thursday
2022-02-11,33301,713,1486,3,109,283240,111,1,Friday
2022-02-12,67394,1192,3359,393,177,283527,287,1,Saturday
2022-02-13,47423,897,1975,301,104,283675,148,1,Sunday
2022-02-14,23438,436,987,168,56,283707,32,0,Monday
2022-02-15,40532,806,1623,101,83,283837,130,1,Tuesday
2022-02-16,77952,1672,3474,212,211,284147,310,0,Wednesday
2022-02-17,44937,804,1834,39,142,284292,145,0,Thursday
2022-02-18,55105,1016,2394,215,136,284466,174,0,Friday
2022-02-19,104047,2035,4867,94,312,284942,476,0,Saturday
2022-02-20,105421,1854,4289,61,262,285407,465,0,Sunday
2022-02-21,55984,820,2527,35,141,285503,96,1,Monday
2022-02-22,38156,674,1721,11,123,285581,78,0,Tuesday
2022-02-23,32819,626,2026,1,124,285674,93,0,Wednesday
2022-02-24,23025,739,1270,3,108,285809,135,0,Thursday